drag,sent_time_ns,recv_time_ns,latency,currentThrust,currentTimestep,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
9767274.918374995,351184579385100,351184611025400,31640300,123191000.0,88,30628.52738619129,4135766.6251105377,689294.4375184256,5256061.062628974,61033011.17321064,11.544655712051284,11.544655712051284,588.0788796845712,588.0788796845712,23318.683508319864,50.45659896160382
9248795.375014769,351184800718700,351184832533100,31814400,123191000.0,89,30628.52738619129,4109513.6016366594,684918.9336061126,5225432.535242783,61861766.05723476,11.76960566479659,11.76960566479659,599.8484853493678,599.8484853493678,23918.531993669232,49.7838591640341
8741079.403973756,351184970200500,351185001766300,31565800,123191000.0,90,30628.52738619129,4083260.578162781,680543.4296937996,5194804.007856592,62680711.45425354,11.995315417720015,11.995315417720015,611.8438007670878,611.8438007670878,24530.37579443632,49.119082194110334
8098654.5881296,351185159512300,351185235968500,76456200,123191000.0,91,30628.52738619129,4057007.5546889026,676167.9257814866,5164175.4804704,63488893.278953075,12.221614748685964,12.221614748685964,624.0654155157738,624.0654155157738,25154.441209952096,48.4630425283072
7562186.496881592,351185299957700,351185315851500,15893800,123191000.0,92,30628.52738619129,4030754.531215024,671792.4218691735,5133546.953084209,64431783.94845576,12.476683682055421,12.476683682055421,636.5420991978292,636.5420991978292,25790.983309149924,47.69765327949626
7052554.765580598,351185487356900,351185504042900,16686000,123191000.0,93,30628.52738619129,4004501.507741146,667416.9179568605,5102918.425698018,65268717.89336233,12.714156213989474,12.714156213989474,649.2562554118186,649.2562554118186,26440.239564561743,47.01827414879144
6569035.744106255,351185660693000,351185692027600,31334600,123191000.0,94,30628.52738619129,3978248.4842672674,663041.4140445475,5072289.898311826,66078815.47832185,12.949220419741094,12.949220419741094,662.2054758315597,662.2054758315597,27102.445040393304,46.3606793691732
6110906.674787007,351185816285000,351185848561200,32276200,123191000.0,95,30628.52738619129,3951995.460793389,658665.9101322345,5041661.370925635,66862800.35345472,13.181975339325179,13.181975339325179,675.3874511708849,675.3874511708849,27777.83249156419,45.72428151938477
5677440.298127065,351185972795500,351186004271500,31476000,123191000.0,96,30628.52738619129,3925742.4373195106,654290.4062199214,5011032.843539444,67621395.27643251,13.41252224244831,13.41252224244831,688.7999734133332,688.7999734133332,28466.632464977523,45.1084939026126
5267901.00952737,351186160288300,351186237592800,77304500,123191000.0,97,30628.52738619129,3899489.413845632,649914.9023076084,4980404.3161532525,68355327.50675099,13.640965773129828,13.640965773129828,702.440939186463,702.440939186463,29169.073404163988,44.51272616769814
4881542.381942958,351186317499100,351186363097900,45598800,123191000.0,98,30628.52738619129,3873236.390371754,645539.3983952954,4949775.788767061,69065332.64900921,13.867414825138866,13.867414825138866,716.3083540116019,716.3083540116019,29885.38175817559,43.93638118936512
4517605.879888596,351186503943400,351186581697700,77754300,123191000.0,99,30628.52738619129,3846983.3668978754,641163.8944829823,4919147.26138087,70416559.48596507,14.31478989027017,14.31478989027017,744.7151270758466,744.7151270758466,31360.497222437014,42.83952603196251
4175320.599561922,351186689288400,351186722015200,32726800,123191000.0,100,30628.52738619129,3820730.343423997,636788.3905706693,4888518.733994679,71059310.61995028,14.535959558834255,14.535959558834255,759.2510866346809,759.2510866346809,32119.748309071696,42.31777433420439
3853903.8786996496,351186878606200,351186909571600,30965400,123191000.0,101,30628.52738619129,3794477.3199501187,632412.8866583563,4857890.206608487,71681193.19447109,14.755622326943238,14.755622326943238,774.0067089616241,774.0067089616241,32893.75501803332,41.81296263974552
3552562.6285534427,351187034188900,351187065010900,30822000,123191000.0,102,30628.52738619129,3768224.2964762403,628037.3827460433,4827261.679222296,72283000.29827583,14.973913804880182,14.973913804880182,788.9806227665043,788.9806227665043,33682.73564079982,41.32444716068882
3270495.249361956,351187173720500,351187221465300,47744800,123191000.0,103,30628.52738619129,3741971.273002362,623661.8788337302,4796633.151836105,72865533.53112584,15.190974841016063,15.190974841016063,804.1715976075204,804.1715976075204,34486.907238407344,40.85157720034269
3006894.0000771196,351187299210500,351187331109400,31898900,123191000.0,104,30628.52738619129,3715718.2495284835,619286.3749214172,4766004.624449913,73429600.63406923,15.406951192907076,15.406951192907076,819.5785488004275,819.5785488004275,35306.48578720777,40.39369707684065
2760947.702947979,351187442193100,351187504455500,62262400,123191000.0,105,30628.52738619129,3689465.226054605,614910.8710091042,4735376.097063722,73976012.78485692,15.621993114913813,15.621993114913813,835.2005419153413,835.2005419153413,36116.68632912311,39.95014831858097
2541243.2002323754,351187550363200,351187613108500,62745300,123191000.0,106,30628.52738619129,3663212.2025807267,610535.3670967912,4704747.569677531,74496183.14123105,15.83425721315312,15.83425721315312,851.0347991284945,851.0347991284945,36967.72112825161,39.5279012742562
2327286.2075095773,351187692541600,351187707390700,14849100,123191000.0,107,30628.52738619129,3636959.1791068483,606159.8631844781,4674119.0422913395,75010605.98761238,16.04807351051992,16.04807351051992,867.0828726390143,867.0828726390143,37834.804000890625,39.11031975743976
2128634.908473979,351187830994800,351187862816700,31821900,123191000.0,108,30628.52738619129,3610706.15563297,601784.3592721651,4643490.514905148,75509723.14030652,16.261414317080593,16.261414317080593,883.344286956095,883.344286956095,38718.14828784672,38.70516260091523
1944489.1063834135,351187989470400,351188004422500,14952100,123191000.0,109,30628.52738619129,3584453.1321590915,597408.8553598521,4612861.987518957,75994334.79605561,16.474443632103856,16.474443632103856,899.8187305881988,899.8187305881988,39617.96701843492,38.31178024688848
1774060.5931771272,351188144009600,351188159834700,15825100,123191000.0,110,30628.52738619129,3558200.108685213,593033.351447539,4582233.460132766,76465229.16292045,16.687327223328545,16.687327223328545,916.5060578115274,916.5060578115274,40534.47307624645,37.92953286934886
1616575.9346025377,351188332855800,351188364650400,31794600,123191000.0,111,30628.52738619129,3531947.0852113348,588657.847535226,4551604.932746574,76923179.67515357,16.900232074565363,16.900232074565363,933.4062898860927,933.4062898860927,41467.87936613255,37.55779263488926
1471279.0572047802,351188458479100,351188542447100,83968000,123191000.0,112,30628.52738619129,3505694.0617374564,584282.343622913,4520976.405360383,77368942.40620986,17.11332585467066,17.11332585467066,950.5196157407634,950.5196157407634,42418.39898187331,37.19594580268862
1337433.6025421377,351188579998600,351188612004200,32005600,123191000.0,113,30628.52738619129,3479441.038263578,579906.8397106,4490347.877974192,77803253.71453103,17.32677641662627,17.32677641662627,967.8463921573896,967.8463921573896,43386.2453740307,36.84339463554072
1214325.0233597183,351188737461700,351188752984800,15523100,123191000.0,114,30628.52738619129,3453188.0147896996,575531.335798287,4459719.350588,78226828.147372,17.54075133383854,17.54075133383854,985.3871434912281,985.3871434912281,44371.63251752193,36.499559101418114
