,currentTimestep,currentTime,totalTimestepsRun,versions,sent_time_ns,recv_time_ns,latency,currentThrust,drag,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange,pressure,temperature,density
62,67,67,67,1,220167101438200,220167162805300,61367100,123191000.0,21304598.133286923,30628.52738619129,4713333.141535862,785555.5235893122,5929888.665125183,43205391.45192714,7.28603754502616,7.28603754502616,390.35081259704856,390.35081259704856,13130.684221913043,64.92812668788537,16.258932159062063,-56.46,0.2615910154391643
63,68,68,68,1,220167289263600,220167396002300,106738700,123191000.0,20787110.640209887,30628.52738619129,4687080.118061984,781180.0196769992,5899260.1377389915,44014659.91549357,7.461047468295416,7.461047468295416,397.811860065344,397.811860065344,13528.496081978386,64.27120494557754,15.2745182646584,-56.46,0.2457527163596058
64,69,69,69,1,220167476497900,220167537667900,61170000,123191000.0,20261450.13373712,30628.52738619129,4660827.094588106,776804.5157646862,5868631.6103528,44832613.262229145,7.639364035585457,7.639364035585457,405.45122410092944,405.45122410092944,13933.947306079315,63.607233270101595,14.332506293032207,-56.46,0.2305966245693956
65,70,70,70,1,220167616417300,220167647194600,30777300,123191000.0,19728178.094098676,30628.52738619129,4634574.071114227,772429.0118523731,5838003.082966609,45658739.62236044,7.820951611960906,7.820951611960906,413.2721757128903,413.2721757128903,14347.219481792206,62.936627170523465,13.43208695250036,-56.46,0.21610971932208467
66,71,71,71,1,220167802458700,220167911276000,108817300,123191000.0,19187905.51658351,30628.52738619129,4608321.047640349,768053.5079400601,5807374.555580418,46492477.515657425,8.005765268055926,8.005765268055926,421.27794098094625,421.27794098094625,14768.497422773153,62.259842427078745,12.572422899250352,-56.46,0.20227852853869252
67,72,72,72,1,220167960440600,220167975351900,14911300,123191000.0,18641292.472104028,30628.52738619129,4582068.02416647,763678.0040277471,5776746.028194226,47333215.94683113,8.193750550191176,8.193750550191176,429.4716915311374,429.4716915311374,15197.969114304291,61.57737501373384,11.752649458281672,-56.46,0.18908914040697986
68,73,73,73,1,220168209538900,220168225228800,15689900,123191000.0,18089047.2888939,30628.52738619129,4529561.977218714,754926.996203121,5715488.973421844,48180294.844969146,8.384843303011799,8.384843303011799,437.8565348341492,437.8565348341492,15635.82564913844,60.88976074147531,10.971875489780647,-56.46,0.1765272173206096
69,74,74,74,1,220168427623600,220168475492100,47868500,123191000.0,17531925.32236678,30628.52738619129,4503308.953744835,750551.492290808,5684860.446035652,49890593.70202347,8.776045458919711,8.776045458919711,455.2115498457793,455.2115498457793,16537.47270337108,59.50142972942546,10.229184403432464,-56.46,0.1645780121984791
70,75,75,75,1,220168583165000,220168660970200,77805200,123191000.0,16970727.282854557,30628.52738619129,4477055.930270957,746175.988378495,5654231.918649461,50752257.59519422,8.975977343235087,8.975977343235087,464.1875271890144,464.1875271890144,17001.660230560094,58.80197612228635,9.523635322309095,-56.46,0.15322638721058823
71,76,76,76,1,220168739630100,220168834171400,94541300,123191000.0,16406297.094536245,30628.52738619129,4450802.906797078,741800.484466182,5623603.39126327,51617153.637171075,9.17866180203294,9.17866180203294,473.36618899104735,473.36618899104735,17475.02641955114,58.09989882607408,8.854264396970557,-56.46,0.14245683492070016
72,77,77,77,1,220168928069200,220168959771700,31702500,123191000.0,15839519.263413029,30628.52738619129,4424549.8833232,737424.9805538689,5592974.8638770785,52484397.321952835,9.383985910777076,9.383985910777076,482.75017490182444,482.75017490182444,17957.776594452964,57.39591583642243,8.220086269282213,-56.46,0.13225350183779297
73,78,78,78,1,220169084536600,220169099364800,14828200,123191000.0,15271315.737713959,30628.52738619129,4398296.859849322,733049.4766415559,5562346.336490887,53353066.701310426,9.591827526325739,9.591827526325739,492.3420024281502,492.3420024281502,18450.118596881115,56.69077554260423,7.620095684189208,-56.46,0.122600214348003
74,79,79,79,1,220169240952200,220169256850400,15898200,123191000.0,14702642.250636728,30628.52738619129,4372043.836375443,728673.9727292429,5531717.809104696,54222206.042046204,9.802055692862979,9.802055692862979,502.14405812101313,502.14405812101313,18952.262655002127,55.98525375875981,7.053269246309342,-56.46,0.11348050697656194
75,80,80,80,1,220169427580600,220169458121800,30541200,123191000.0,14134484.142816696,30628.52738619129,4345790.812901565,724298.4688169298,5501089.281718505,55090830.00352478,10.014531155966761,10.014531155966761,512.1585892769799,512.1585892769799,19464.421244279107,55.2801503327964,6.518567316721174,-56.46,0.10487765290534362
76,81,81,81,1,220169615689600,220169647490200,31800600,123191000.0,13567851.670319669,30628.52738619129,4319537.7894276865,719922.9649046168,5470460.754332313,55957928.32968033,10.229106987992672,10.229106987992672,522.3876962649725,522.3876962649725,19986.80894054408,54.57628533766239,6.014936043750765,-56.46,0.09677469664632396
77,82,82,82,1,220169787092700,220169835436400,48343700,123191000.0,13003774.813177736,30628.52738619129,4293284.765953808,715547.4609923038,5439832.226946122,56822471.04048081,10.44562932639937,10.44562932639937,532.8333255913719,532.8333255913719,20519.64226613545,53.87449485718859,5.09661205552821,-56.46,0.08199972235950466
78,83,83,83,1,220169971505100,220170018256200,46751100,123191000.0,12443297.609401284,30628.52738619129,4267031.74247993,711171.9570799908,5409203.699559931,57683414.0979158,10.66393822488302,10.66393822488302,543.497263816255,543.497263816255,21063.139529951706,53.175626386736205,4.679760557655778,-56.46,0.0752929715379257
79,85,85,85,1,220170193534600,220170225607900,32073300,123191000.0,11337351.579949632,30628.52738619129,4240778.719006051,706796.4531676777,5378575.172173739,58539705.5111426,10.883868615242186,10.883868615242186,554.3811324314971,554.3811324314971,21617.520662383202,52.480533877359065,4.289667001653022,-56.46,0.06901673098087535
80,86,86,86,1,220170364932200,220170427935000,63002800,123191000.0,10793984.265514258,30628.52738619129,4214525.695532173,702420.9492553647,5347946.644787548,59390291.83468452,11.105251375791138,11.105251375791138,565.4863838072882,565.4863838072882,22183.00704619049,51.79007246090662,3.925240980585209,-56.46,0.06315345706036452
81,87,87,87,1,220170554304300,220170568482700,14178400,123191000.0,10258405.689554583,30628.52738619129,4188272.6720582945,698045.4453430517,5317318.117401357,60234125.00277844,11.327914499916295,11.327914499916295,576.8142983072046,576.8142983072046,22759.821344497694,51.10509290225873,3.585392316511465,-56.46,0.057685609832701164
82,88,88,88,1,220170756403900,220170757141900,738000,123191000.0,9731631.65817884,30628.52738619129,4135766.6251105377,689294.4375184256,5256061.062628974,61070169.432396635,11.551684356073844,11.551684356073844,588.3659826632784,588.3659826632784,23348.187327160973,50.426435833464595,3.2690337160602665,-56.46,0.052595695764216854
83,89,89,89,1,220170942460500,220170974070200,31609700,123191000.0,9214650.801913999,30628.52738619129,4109513.6016366594,684918.9336061126,5225432.535242783,61897409.31743091,11.776387028211406,11.776387028211406,600.1423696914898,600.1423696914898,23948.329696852463,49.75492583270619,2.9750834514841227,-56.46,0.047866310866929704
84,90,90,90,1,220171084047600,220171099737700,15690100,123191000.0,8708417.16722174,30628.52738619129,4083260.578162781,680543.4296937996,5194804.007856592,62714856.02735431,12.001849723324476,12.001849723324476,612.1442194148142,612.1442194148142,24560.473916267278,49.0913654184524,2.7024680472986624,-56.46,0.04348018392405508
85,91,91,91,1,220171271407500,220171303105000,31697500,123191000.0,8064682.149790911,30628.52738619129,4057007.5546889026,676167.9257814866,5164175.4804704,63521555.515705094,12.227902230697339,12.227902230697339,624.3721216455115,624.3721216455115,25184.84603791279,48.43652903563971,2.4117686907060487,-55.90731034664077,0.03870436094433106
