,,,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange,currentTimestep,sent_time_ns,recv_time_ns,latency
'3.113',3,113,77131387.8,17.06078088,17.06078088,940.8703947,940.8703947,42118.14686,37.38878019,20,,,
'3.114',3,114,77583918.28,17.27793044,17.27793044,958.1483252,958.1483252,43076.29518,37.02143965,20,,,
'3.115',3,115,78024643.66,17.49541564,17.49541564,975.6437408,975.6437408,44051.93892,36.66368188,20,,,
'3.116',3,116,78454280.68,17.71340526,17.71340526,993.3571461,993.3571461,45045.29607,36.31492505,20,,,
'3.117',3,117,78873524.54,17.9320679,17.9320679,1011.289214,1011.289214,46056.58528,35.97460485,20,,,
'3.118',3,118,79283047.11,18.15157154,18.15157154,1029.440786,1029.440786,47086.02607,35.64217589,20,,,
'3.119',3,119,79683495.48,18.37208319,18.37208319,1047.812869,1047.812869,48133.83894,35.31711287,20,,,
'3.120',3,120,80075490.78,18.59376858,18.59376858,1066.406637,1066.406637,49200.24558,34.99891162,20,,,
'3.121',3,121,80421108.28,18.80778362,18.80778362,1104.047496,1104.047496,49138.16001,34.71835745,120,,,
'3.122',3,122,80836471.56,19.04131563,19.04131563,1104.264745,1104.264745,51389.73375,34.3811873,20,,,
'3.123',3,123,81206562.5,19.26750027,19.26750027,1123.532245,1123.532245,52513.26599,34.08076686,20,,,
'3.124',3,124,81570410.76,19.49550436,19.49550436,1143.027749,1143.027749,53656.29374,33.7854139,20,,,
'3.125',3,125,81928498.97,19.72548437,19.72548437,1162.753234,1162.753234,54819.04698,33.49473665,20,,,
'3.126',3,126,82281282.02,19.95759466,19.95759466,1182.710828,1182.710828,56001.75781,33.20836586,20,,,
'3.127',3,127,82629187.42,20.19198753,20.19198753,1202.902816,1202.902816,57204.66062,32.92595448,20,,,
'3.128',3,128,82972615.93,20.42881331,20.42881331,1223.331629,1223.331629,58427.99225,32.6471772,20,,,
'3.129',3,129,83311942.26,20.66822039,20.66822039,1243.99985,1243.99985,59671.9921,32.37172987,20,,,
'3.130',3,130,83647515.89,20.91035545,20.91035545,1264.910205,1264.910205,60936.90231,32.09932877,20,,,
'3.131',3,131,83979662.01,21.15536353,21.15536353,1286.065569,1286.065569,62222.96788,31.82970996,20,,,
'3.132',3,132,84308682.46,21.4033883,21.4033883,1307.468957,1307.468957,63530.43683,31.56262839,20,,,
'3.133',3,133,84634856.83,21.6545722,21.6545722,1329.123529,1329.123529,64859.56036,31.29785712,20,,,
